product_name,image,price,link 
Gigabyte AERO 15 NVIDIA RTX 2080 Super| 32GB 15.6" 144Hz IPS| i7-10750H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT0BDGI_244979_210x210.jpg, £2|199.95 , https://www.overclockers.co.uk/gigabyte-aero-15-nvidia-rtx-2080-super-32gb-15.6-144hz-ips-i7-10750h-gaming-laptop-lt-0bd-gi.html
Gigabyte AERO 15S-OLED-SA NVIDIA GTX 1660 Ti| 15.6" 4K UHD OLED| i7-9750H Professional Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT09VGI_226687_210x210.jpg, £1|599.95 , https://www.overclockers.co.uk/gigabyte-aero-15s-oled-sa-nvidia-gtx-1660-ti-15.6-4k-uhd-oled-i7-9750h-professional-laptop-lt-09v-gi.html
Razer Blade 15 NVIDIA RTX 2070 Super| 16GB| 15.6" FHD 300Hz| Intel i7-10875H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT014RA_246079_210x210.jpg, £2|199.95 , https://www.overclockers.co.uk/razer-blade-15-nvidia-rtx-2070-super-16gb-15.6-fhd-300hz-intel-i7-10875h-gaming-laptop-lt-014-ra.html
Razer Core X Chroma External Graphics Card Enclosure (Thunderbolt 3) - Black, https://www.overclockers.co.uk/media/image/thumbnail/LT00LRA_210932_210x210.jpg, £379.99 , https://www.overclockers.co.uk/razer-core-x-chroma-external-graphics-card-enclosure-thunderbolt-3-black-lt-00l-ra.html
Razer Blade 15 NVIDIA RTX 2060| 16GB| 15.6" FHD 144hz| Intel i7-10750H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT018RA_245808_210x210.jpg, £1|799.99 , https://www.overclockers.co.uk/razer-blade-15-nvidia-rtx-2060-16gb-15.6-fhd-144hz-intel-i7-10750h-gaming-laptop-lt-018-ra.html
Gigabyte AORUS 7 NVIDIA GTX 1660 Ti| 16GB| 17.3" LG 144Hz| i7-10750H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT0BKGI_258317_210x210.jpg, £1|299.95 , https://www.overclockers.co.uk/gigabyte-aorus-7-nvidia-gtx-1660-ti-16gb-17.3-lg-144hz-i7-10750h-gaming-laptop-lt-0bk-gi.html
Gigabyte AORUS 17X NVIDIA RTX 2070| 16GB| 17.3" AUO 240Hz| i7-10875H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT0ADGI_245215_210x210.jpg, £2|199.95 , https://www.overclockers.co.uk/gigabyte-aorus-17x-nvidia-rtx-2070-16gb-17.3-auo-240hz-i7-10875h-gaming-laptop-lt-0ad-gi.html
Razer Blade 15 NVIDIA RTX 2080 Super| 16GB| 15.6" 4K UHD OLED| Intel i7-10875H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT016RA_246095_210x210.jpg, £3|199.99 , https://www.overclockers.co.uk/razer-blade-15-nvidia-rtx-2080-super-16gb-15.6-4k-uhd-oled-intel-i7-10875h-gaming-laptop-lt-016-ra.html
Gigabyte AERO 15 NVIDIA RTX 2070 Super| 16GB 15.6" 144Hz IPS| i7-10750H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT0BEGI_244970_210x210.jpg, £1|799.99 , https://www.overclockers.co.uk/gigabyte-aero-15-nvidia-rtx-2070-super-16gb-15.6-144hz-ips-i7-10750h-gaming-laptop-lt-0be-gi.html
Gigabyte AORUS 5 NVIDIA RTX 2060| 16GB| 15.6" LG 144Hz| i7-10750H Gaming Laptop, https://www.overclockers.co.uk/media/image/thumbnail/LT0ARGI_258316_210x210.jpg, £1|399.99 , https://www.overclockers.co.uk/gigabyte-aorus-5-nvidia-rtx-2060-16gb-15.6-lg-144hz-i7-10750h-gaming-laptop-lt-0ar-gi.html
